iter	Passed	Remaining
820	1402	305
821	1403	303
822	1405	302
823	1406	300
824	1408	298
825	1409	296
826	1411	295
827	1412	293
828	1414	291
829	1415	289
830	1417	288
831	1418	286
832	1420	284
833	1422	283
834	1423	281
835	1425	279
836	1426	277
837	1427	276
838	1429	274
839	1430	272
840	1432	270
841	1433	269
842	1435	267
843	1437	265
844	1438	263
845	1439	262
846	1441	260
847	1442	258
848	1444	256
849	1445	255
850	1447	253
851	1448	251
852	1450	249
853	1451	248
854	1453	246
855	1454	244
856	1456	243
857	1457	241
858	1459	239
859	1460	237
860	1462	236
861	1463	234
862	1465	232
863	1467	230
864	1468	229
865	1470	227
866	1471	225
867	1473	224
868	1474	222
869	1476	220
870	1477	218
871	1479	217
872	1480	215
873	1482	213
874	1483	211
875	1485	210
876	1486	208
877	1487	206
878	1489	205
879	1491	203
880	1492	201
881	1493	199
882	1495	198
883	1496	196
884	1498	194
885	1499	192
886	1501	191
887	1502	189
888	1504	187
889	1505	186
890	1507	184
891	1508	182
892	1510	181
893	1512	179
894	1513	177
895	1515	175
896	1517	174
897	1518	172
898	1520	170
899	1521	169
900	1523	167
901	1524	165
902	1526	163
903	1527	162
904	1529	160
905	1530	158
906	1532	157
907	1533	155
908	1535	153
909	1536	151
910	1538	150
911	1539	148
912	1541	146
913	1542	145
914	1544	143
915	1545	141
916	1547	140
917	1548	138
918	1549	136
919	1551	134
920	1552	133
921	1554	131
922	1556	129
923	1557	128
924	1559	126
925	1560	124
926	1562	123
927	1563	121
928	1565	119
929	1566	117
930	1568	116
931	1569	114
932	1571	112
933	1572	111
934	1574	109
935	1575	107
936	1577	106
937	1578	104
938	1580	102
939	1581	100
940	1583	99
941	1584	97
942	1586	95
943	1587	94
944	1589	92
945	1590	90
946	1592	89
947	1593	87
948	1595	85
949	1596	84
950	1598	82
951	1599	80
952	1601	78
953	1603	77
954	1604	75
955	1606	73
956	1608	72
957	1610	70
958	1611	68
959	1613	67
960	1615	65
961	1616	63
962	1618	62
963	1620	60
964	1621	58
965	1623	57
966	1625	55
967	1626	53
968	1628	52
969	1630	50
970	1632	48
971	1633	47
972	1635	45
973	1636	43
974	1638	42
975	1639	40
976	1641	38
977	1642	36
978	1644	35
979	1645	33
980	1647	31
981	1648	30
982	1650	28
983	1651	26
984	1653	25
985	1654	23
986	1656	21
987	1657	20
988	1659	18
989	1660	16
990	1662	15
991	1663	13
992	1665	11
993	1666	10
994	1668	8
995	1670	6
996	1671	5
997	1673	3
998	1674	1
999	1676	0
